Sample_ID,Valid_Length,RMSD_Angstroms,Full_dRMSD,Helix_dRMSD,Sheet_dRMSD,GDT_TS,TM_Score,Q3_Accuracy,Top-L/2_Prec
20002,172,18.5755,8.1723,1.0433,0.3359,0.0305,0.1343,0.1860,0.0116
20003,200,24.4307,17.9749,0.5431,0.1614,0.0163,0.1016,0.6200,0.0700
20004,117,22.4203,14.3776,0.4461,0.7749,0.0513,0.1069,0.6667,0.0000
20005,200,41.5740,39.9058,2.6533,0.3967,0.0088,0.0375,0.3200,0.0000
20006,200,20.8777,12.2854,0.3654,0.3093,0.0225,0.1167,0.7250,0.0800
20007,196,27.6879,18.2028,0.3938,0.3777,0.0013,0.0672,0.6531,0.0510
20008,196,21.7833,10.9630,0.4221,0.2629,0.0077,0.0885,0.6582,0.0918
20009,171,26.6458,18.9134,1.0009,0.3918,0.0000,0.0543,0.1287,0.0118
20010,200,24.2407,12.5080,0.3685,0.3939,0.0175,0.1010,0.4650,0.0500
20011,200,31.8966,25.9474,0.4853,nan,0.0000,0.0340,0.6800,0.0600
20012,184,24.5944,17.4559,0.4304,0.5534,0.0326,0.1149,0.3750,0.0652
20013,200,15.9931,7.6926,nan,0.3480,0.0363,0.1794,0.7350,0.0100
20014,192,31.0892,26.5986,1.1350,0.8669,0.0039,0.0594,0.3698,0.0312
20015,181,27.4052,16.7057,0.3217,1.0816,0.0138,0.0773,0.4530,0.0667
20016,165,25.7851,21.0771,0.4306,0.9726,0.0015,0.0550,0.3333,0.0000
20017,196,21.3817,9.4568,0.2943,nan,0.0370,0.1392,0.6990,0.0306
20018,191,21.7208,13.0116,0.4171,1.0419,0.0052,0.0794,0.4817,0.0526
20019,191,18.5523,7.8567,0.3628,0.3002,0.0301,0.1392,0.6335,0.0105
20020,165,15.6416,7.2163,0.4125,0.2632,0.1045,0.2228,0.4667,0.0976
20021,162,15.7101,7.5180,0.6528,0.9045,0.0787,0.1978,0.1790,0.1481
20022,200,13.3463,7.1017,0.5804,0.1493,0.0925,0.2460,0.7400,0.0200
20023,172,14.9589,8.7240,0.3603,0.5280,0.0698,0.1842,0.3023,0.1279
20024,200,25.1720,11.8460,0.3581,0.2677,0.0312,0.1137,0.6700,0.0000
20025,157,19.5820,12.3155,0.9567,0.6908,0.0016,0.0724,0.3121,0.0000
20026,177,20.7398,9.7942,0.8070,0.4554,0.0212,0.1051,0.1751,0.0227
20027,194,13.1824,5.7658,0.2620,nan,0.0889,0.2545,0.3608,0.0722
20028,200,18.2096,11.0864,nan,0.2975,0.0362,0.1584,0.6750,0.0300
20029,169,15.7363,8.5129,0.6273,0.5899,0.0355,0.1447,0.3314,0.0595
20030,200,20.1044,10.4642,0.3346,nan,0.0013,0.1090,0.7050,0.1000
20031,155,37.2439,28.6068,1.6202,1.0090,0.0032,0.0353,0.4645,0.0130
20032,125,8.3068,4.3071,0.5937,0.2373,0.2760,0.3800,0.1520,0.1774
20033,189,22.6252,11.7849,0.7731,nan,0.0119,0.0994,0.6032,0.0319
20034,186,21.8527,10.7511,0.6965,0.4119,0.0121,0.0945,0.2581,0.0000
20035,164,29.3019,21.3496,nan,0.5341,0.0015,0.0519,0.4329,0.0122
20036,200,24.0224,12.8354,0.4027,nan,0.0312,0.1311,0.7100,0.0000
20037,122,12.1304,4.8977,1.0310,0.4038,0.0943,0.1932,0.0984,0.0820
20038,161,23.5990,15.3375,nan,0.4163,0.0000,0.0765,0.3478,0.0250
20039,139,26.3789,19.3470,1.3793,nan,0.0036,0.0501,0.5108,0.0000
20040,167,20.7502,11.3564,1.6579,0.6989,0.0240,0.1027,0.3114,0.0120
20041,189,21.9251,13.1747,0.5212,0.9792,0.0079,0.0969,0.5661,0.0000
